obj_id,object_name,source,label,label_source,period,duration,depth,stellar_radius,stellar_mass,stellar_mag
4047631,K02519.01,KOI,1.0,CANDIDATE,4.790912471,0.5134,361.0,0.676,0.665,14.452
4048898,K07678.01,KOI,1.0,CANDIDATE,13.0914878,2.037,37.5,1.288,1.048,11.993
404898080,404898080,TOI,1.0,PC,1.4716633,1.23,9168.0,1.07,0.974,13.1626
4049108,K00495.01,KOI,0.0,FALSE POSITIVE,4.804469031,3.4587,744.0,0.809,0.805,14.873
4049124,K05994.01,KOI,0.0,FALSE POSITIVE,4.804469712,3.51946,133000.0,0.809,0.864,14.654
4049131,K00811.01,KOI,1.0,CONFIRMED,20.50588921,4.0595,2110.0,0.761,0.739,15.398
4049901,K02295.01,KOI,1.0,CANDIDATE,16.2908527,3.176,44.1,0.797,0.822,11.671
405010127,405010127,TOI,1.0,KP,13.2341261,2.3705157,18389.50925,0.548929,0.974,13.8215
405122173,405122173,TOI,1.0,PC,3.1003012,1.826,11350.0,1.67,0.974,13.0812
405230669,405230669,TOI,1.0,PC,3.6810755,2.49,8544.0,0.95,0.974,13.0507
405269313,405269313,TOI,1.0,PC,2.4465664,1.753,2778.0,0.88,0.974,12.7937
405425498,405425498,TOI,1.0,APC,4.2217717,2.561,594.0,1.21,0.974,10.0106
405428714,405428714,TOI,1.0,PC,2.9532145,3.9795532,3110.689079,1.68056,0.974,11.529
405452527,405452527,TOI,1.0,APC,11.5738497,6.656,18730.0,1.61,0.974,11.8929
405454160,405454160,TOI,1.0,PC,731.9380939,3.7406486,3290.070552,0.983025,0.974,10.4397
4054784,K07679.01,KOI,1.0,CANDIDATE,1.8679943,1.087,73.4,0.815,0.899,14.185
405484221,405484221,TOI,0.0,FP,42.8289152,2.3248526,85688.82045,0.289034,0.974,15.7488
405485201,405485201,TOI,1.0,PC,7.7605254,3.639,2060.0,1.09,0.974,11.7483
4055092,K06379.01,KOI,0.0,FALSE POSITIVE,76.45315813,5.1822,9660.0,0.54,0.548,15.312
4055304,K02119.01,KOI,1.0,CONFIRMED,0.571038347,1.1267,242.0,0.886,0.82,14.098
405532603,405532603,TOI,1.0,APC,3.3045926,1.322,8637.0,1.38,0.974,11.4715
405542683,405542683,TOI,1.0,PC,1.3473988,0.444,11164.0,0.64,0.974,13.7182
405559035,405559035,TOI,1.0,PC,11.1516668,4.623,580.0,1.19,0.974,10.67
405571798,405571798,TOI,1.0,PC,2.9590176,2.832,12520.0,1.4,0.974,13.4571
